pantone_name;rgb_r;rgb_g;rgb_b;rgb;hex;cmyk_c;cmyk_m;cmyk_y;cmyk_k
374;194;255;110;194,255,110;#C2FF6E;24;0;57;0
375;150;255;56;150,255,56;#96FF38;41;0;78;0
376;116;242;0;116,242,0;#74F200;52;0;100;5
377;107;194;0;107,194,0;#6BC200;45;0;100;24
378;67;102;0;67,102,0;#436600;34;0;100;60
379;232;255;107;232,255,107;#E8FF6B;9;0;58;0
380;222;255;71;222,255,71;#DEFF47;13;0;72;0
381;204;255;23;204,255,23;#CCFF17;20;0;91;0
382;181;255;0;181,255,0;#B5FF00;29;0;100;0
383;165;207;0;165,207,0;#A5CF00;20;0;100;19
384;144;176;0;144,176,0;#90B000;18;0;100;31
385;104;107;0;104,107,0;#686B00;3;0;100;58
386;240;255;112;240,255,112;#F0FF70;6;0;56;0
387;230;255;66;230,255,66;#E6FF42;10;0;74;0
388;219;255;54;219,255,54;#DBFF36;14;0;79;0
389;204;255;38;204,255,38;#CCFF26;20;0;85;0
390;183;235;0;183,235,0;#B7EB00;22;0;100;8
391;149;171;0;149,171,0;#95AB00;13;0;100;33
392;121;130;0;121,130,0;#798200;7;0;100;49
393;247;255;115;247,255,115;#F7FF73;3;0;55;0
3935;252;255;82;252,255,82;#FCFF52;1;0;68;0
394;240;255;61;240,255,61;#F0FF3D;6;0;76;0
3945;247;255;38;247,255,38;#F7FF26;3;0;85;0
395;235;255;38;235,255,38;#EBFF26;8;0;85;0
3955;240;255;0;240,255,0;#F0FF00;6;0;100;0
